,attributedConversions14d,attributedConversions14dSameSKU,attributedSales14d,attributedSales14dSameSKU,campaignBudget,campaignId,campaignName,campaignStatus,clicks,cost,impressions
0,4.0,4.0,98.96,98.96,500,144128619076132074,Lightning headline,enabled,112.0,87.98,10528.0
1,0.0,0.0,0.0,0.0,50,144234234208353843,Micro USB Headline,enabled,8.0,4.31,1778.0
2,0.0,0.0,0.0,0.0,50,144218053269835734,Type C headline,enabled,15.0,15.89,1994.0
3,2.0,1.0,45.98,27.99,100,144363125977934804,Lightning Headline 2 Pack,paused,7.0,6.38,1744.0
4,6.0,5.0,206.9,122.93,300,144387653378870452,Lightning Headline 1 Pack,paused,87.0,67.11,11970.0
5,,,,,150,144246044711029553,Lightning 1 pack/2 pack/10ft,enabled,,,
6,,,,,50,144377002898337630,Leather Case Headline,paused,,,
7,,,,,120,144247026959826085,headline-3350,paused,,,
8,,,,,100,144377512899327545,Lightning 2 Pack Headline,archived,,,
9,,,,,100,144275915069863599,Lightning 1 Pack Headline,archived,,,
10,,,,,50,144385662719164127,Headline portable charger,enabled,,,
